|<questao>|<linhas>|<colunas>|<SQL>
10|2|2|3|  SELECT NOME_FUNCAO, NOME_SUBFUNCAO, VALOR_DESPESA  FROM DESPESA_PUBLICA AS DP  INNER JOIN DETALHAMENTO_FUNCAO AS DF  ON DF.COD_DETALHAMENTO = DP.COD_DETALHAMENTO  INNER JOIN SUBFUNCAO AS S  ON S.COD_SUBFUNCAO = DF.COD_SUBFUNCAO  INNER JOIN FUNCAO AS F  ON F.COD_FUNCAO = DF.COD_FUNCAO  WHERE VALOR_DESPESA > 200000   GROUP BY DP.COD_DETALHAMENTO  
11|2|2|3|  SELECT NOME_FUNCAO, NOME_SUBFUNCAO, VALOR_DESPESA  FROM DESPESA_PUBLICA AS DP  INNER JOIN DETALHAMENTO_FUNCAO AS DF  ON DF.COD_DETALHAMENTO = DP.COD_DETALHAMENTO  INNER JOIN SUBFUNCAO AS S  ON S.COD_SUBFUNCAO = DF.COD_SUBFUNCAO  INNER JOIN FUNCAO AS F  ON F.COD_FUNCAO = DF.COD_FUNCAO  WHERE VALOR_DESPESA > 200000   GROUP BY DP.COD_DETALHAMENTO  
12|3|14|3|  SELECT D.COD_ORGAO, O.NOME_ORGAO, SUM(VALOR_DESPESA)  FROM DESPESA_PUBLICA AS D  INNER JOIN ORGAO AS O  ON O.COD_ORGAO = D.COD_ORGAO  GROUP BY O.COD_ORGAO  
13|6|4|3|"  SELECT NOME_FUNCAO, NOME_SUBFUNCAO, SUM(VALOR_DESPESA)  FROM DETALHAMENTO_FUNCAO AS DF  INNER JOIN DESPESA_PUBLICA AS DP  ON DP.COD_DETALHAMENTO = DF.COD_DETALHAMENTO  INNER JOIN FUNCAO AS F  ON DF.COD_FUNCAO = F.COD_FUNCAO  INNER JOIN SUBFUNCAO AS S  ON DF.COD_SUBFUNCAO = S.COD_SUBFUNCAO  WHERE DP.COD_DETALHAMENTO IN  (SELECT COD_DETALHAMENTO  FROM DESPESA_PUBLICA AS DP  WHERE MES_DESPESA BETWEEN 7 AND 9  AND ANO_DESPESA = 2018  AND COD_PROGRAMA_GOVERNO =  (SELECT COD_PROGRAMA_GOVERNO  FROM PROGRAMA_GOVERNO  WHERE NOME_PROGRAMA_GOVERNO = ""MAIS MEDICOS""))  GROUP BY DP.COD_DETALHAMENTO  "
14|7|5|2|  SELECT NOME_ORGAO,  COUNT(DISTINCT COD_PROGRAMA_GOVERNO) AS NUMERO_DE_PROGRAMAS  FROM ORGAO AS O  INNER JOIN DESPESA_PUBLICA AS DP  ON O.COD_ORGAO = DP.COD_ORGAO  WHERE DP.VALOR_DESPESA > 0  GROUP BY NOME_ORGAO  
15|8|27|3|  SELECT NOME_PROGRAMA_GOVERNO, NOME_SUBFUNCAO, SOMA  FROM   (SELECT NOME_PROGRAMA_GOVERNO, COD_DETALHAMENTO, SUM(VALOR_DESPESA) AS SOMA  FROM DESPESA_PUBLICA AS DP  INNER JOIN PROGRAMA_GOVERNO AS P  ON P.COD_PROGRAMA_GOVERNO = DP.COD_PROGRAMA_GOVERNO  GROUP BY P.COD_PROGRAMA_GOVERNO) AS P  INNER JOIN DETALHAMENTO_FUNCAO AS DF  ON DF.COD_DETALHAMENTO = P.COD_DETALHAMENTO  INNER JOIN SUBFUNCAO AS S  ON S.COD_SUBFUNCAO = DF.COD_SUBFUNCAO  
16|12|40|2|  SELECT NOME_FUNCAO, NOME_SUBFUNCAO  FROM FUNCAO AS F  INNER JOIN DETALHAMENTO_FUNCAO AS DF  ON DF.COD_FUNCAO = F.COD_FUNCAO  INNER JOIN SUBFUNCAO AS S  ON DF.COD_SUBFUNCAO = S.COD_SUBFUNCAO  
17|13|42|3|"  SELECT DISTINCT MODALIDADE_DESPESA, VALOR_DESPESA, NOME_PROGRAMA_GOVERNO  FROM PROGRAMA_GOVERNO AS P  INNER JOIN  (SELECT *  FROM DESPESA_PUBLICA  WHERE MODALIDADE_DESPESA = ""Reserva de Contingência"") AS DP  ON DP.COD_PROGRAMA_GOVERNO = P.COD_PROGRAMA_GOVERNO  "
18|14|1|2|"  SELECT DISTINCT VALOR_DESPESA, NOME_ORGAO  FROM DESPESA_PUBLICA AS DP  INNER JOIN  (SELECT * FROM ORGAO  WHERE NOME_ORGAO = ""Ministério da Fazenda"") AS O  ON O.COD_ORGAO = DP.COD_ORGAO  "
19|15|14|2|"  SELECT DISTINCT NOME_PROGRAMA_GOVERNO, VALOR_DESPESA  FROM DESPESA_PUBLICA AS DP  INNER JOIN  (SELECT * FROM ORGAO  WHERE NOME_ORGAO = ""Ministério da Saúde"") AS O  ON O.COD_ORGAO = DP.COD_ORGAO  INNER JOIN PROGRAMA_GOVERNO AS P  ON P.COD_PROGRAMA_GOVERNO = DP.COD_PROGRAMA_GOVERNO  "
